facdomain,facgroup,facsubgrp,factype,datasource,count_new,facdomain_old,facgroup_old,facsubgrp_old,factype_old,count_old,diff
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,nysdoh_healthfacilities,112,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,110,2
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,CRISIS SEVICES MENTAL HEALTH,moeo_socialservicesiteloactions,10,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,EMERGENCY MENTAL HEALTH,nysomh_mentalhealth,52,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,EMERGENCY MENTAL HEALTH,52,0
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,FAMILY SUPPORT SERVICES,moeo_socialservicesiteloactions,10,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,GERIATRIC MENTAL HEALTH,moeo_socialservicesiteloactions,4,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,INPATIENT MENTAL HEALTH,nysomh_mentalhealth,47,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,INPATIENT MENTAL HEALTH,46,1
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,NON-MEDICAL CASE MANAGEMENT FOR CURRENTLY INCARCERATED OR RECENTLY RELEASED INDIVIDUALS LIVING WITH HIV,moeo_socialservicesiteloactions,13,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,NON-MEDICAL CASE MANAGEMENT GENERAL,moeo_socialservicesiteloactions,28,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,nysomh_mentalhealth,370,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,369,1
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,PSYCHOSOCIAL CLUB,moeo_socialservicesiteloactions,14,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SINGLE POINT OF ACCESS,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,358,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,353,5
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,moeo_socialservicesiteloactions,30,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,353,-323
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,ABUSE PREVENTION,moeo_socialservicesiteloactions,5,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,ADULT DAY CARE,nysdoh_nursinghomes,28,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,ADULT DAY HEALTH CARE PROGRAM - OFFSITE,nysdoh_healthfacilities,16,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,ADULT DAY HEALTH CARE PROGRAM - OFFSITE,21,-5
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,AFTERSCHOOL PROGRAMS,moeo_socialservicesiteloactions,1021,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,CAREGIVER,moeo_socialservicesiteloactions,10,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,CASE MANAGEMENT ONLY,moeo_socialservicesiteloactions,21,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,CERTIFIED HOME HEALTH AGENCY,nysdoh_healthfacilities,32,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,CERTIFIED HOME HEALTH AGENCY,34,-2
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,FAMILY SUPPORT,moeo_socialservicesiteloactions,152,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HEALTH FACILITY,moeo_socialservicesiteloactions,100,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HEALTH FACILITY,3,97
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HIV PEER INNOVATOR PROJECT,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HIV/AIDS MASTER CONTRACTOR (PUBLIC HEALTH SOLUTIONS),moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HOME CARE,moeo_socialservicesiteloactions,4,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,LONG TERM HOME HEALTH CARE PROGRAM,nysdoh_healthfacilities,10,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,LONG TERM HOME HEALTH CARE PROGRAM,10,0
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,NEW YORK CONNECTS,moeo_socialservicesiteloactions,5,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,ORGANIZATIONAL CAPACITY BUILDING ASSISTANCE FOR AGENCIES SERVING MSM,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,ORGANIZATIONAL SUPPORT FOR AGENCIES SERVING BLACK MEN WHO HAVE SEX WITH MEN,moeo_socialservicesiteloactions,3,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,OUTPATIENT REHABILITATION SERVICES,moeo_socialservicesiteloactions,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,PROVIDE VACCINATIONS TO CHILDREN AND ADULTS,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,RESPITE,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,RUNAWAY & HOMELESS YOUTH,moeo_socialservicesiteloactions,7,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,SEXUAL AND BEHAVIORAL HEALTH SERVICES FOR PRIORITY POPULATIONS MOST HEAVILY IMPACTED BY HIV,moeo_socialservicesiteloactions,9,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,SOCIAL SERVICES ONLY,moeo_socialservicesiteloactions,8,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,STATUS-NEUTRAL CARE COORDINATION,moeo_socialservicesiteloactions,11,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,SUPPORTIVE COUNSELING & FAMILY STABILIZATION SERVICES - GENERAL,moeo_socialservicesiteloactions,10,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,SUPPORTIVE COUNSELING & FAMILY STABILIZATION SERVICES - SEP,moeo_socialservicesiteloactions,14,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,SUPPORTIVE COUNSELING PROGRAM,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,TESTING LABORATORY,moeo_socialservicesiteloactions,1,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,TESTING LABORATORY,1,0
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,TESTING LABORATORY,dcas_colp,1,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,TESTING LABORATORY,1,0
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,TRANSGENDER ORGANIZATIONAL CAPACITY BUILDING ASSISTANCE,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,TRANSGENDER ORGANIZATIONAL SUPPORT,moeo_socialservicesiteloactions,4,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,TREATMENT SUPPORT,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,UNDETECTABLES VIRAL LOAD SUPPRESSION PROGRAM,moeo_socialservicesiteloactions,24,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,UNDETECTABLES VIRAL LOAD SUPPRESSION TECHNICAL ASSISTANCE,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,RESIDENTIAL HEALTH CARE,HOSPICE,nysdoh_healthfacilities,6,HEALTH AND HUMAN SERVICES,HEALTH CARE,RESIDENTIAL HEALTH CARE,HOSPICE,7,-1
HEALTH AND HUMAN SERVICES,HEALTH CARE,RESIDENTIAL HEALTH CARE,NURSING HOME,nysdoh_nursinghomes,168,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,COMMUNITY CENTER,nycha_communitycenters,62,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,COMMUNITY CENTER,8,54
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - ADULT COUNSELING PROGRAM,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - ADULT LITERACY PROGRAM,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - AFTERSCHOOL,nycha_communitycenters,3,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - ART CENTER,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - ASSAFA ISLAMIC CENTER,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - ATTAIN LAB,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - CARE PROGRAM (CONGREGATE),nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - CHILD WELFARE PROGRAM,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - COMMUNITY CENTER,nycha_communitycenters,75,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - COMMUNITY CENTER,127,-52
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - COMPUTER LAB,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - COUNSELING AND REFERRAL CENTER,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - DAY CARE CENTER,nycha_communitycenters,85,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - FAMILY  ASSISTANCE PROGRAM,nycha_communitycenters,2,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - FAMILY LITERACY CTR.,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - FAMILY/YOUTH PROGRAM,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - GED,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - HEAD START CENTER,nycha_communitycenters,17,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - HEALTH CLINIC,nycha_communitycenters,4,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - HEALTH CLINIC,16,-12
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - HEALTH CLINIC (CHILD),nycha_communitycenters,9,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - HEALTH CLINIC (FAMILY),nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - HEALTH CLINIC (MENTAL),nycha_communitycenters,3,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - HEALTH CLINIC (MENTAL),1,2
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - IHAD LITERACY,nycha_communitycenters,4,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - JOB TRAINING PROGRAM,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - LIBRARY,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - OFFICE SPACE,nycha_communitycenters,4,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - PERFORMING ARTS CENTER,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - REFERRAL SERVICES,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - SCHOOL,nycha_communitycenters,2,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - SENIOR PROGRAM,nycha_communitycenters,2,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - SENIOR PROGRAM,1,1
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - SOCIAL SERVICES,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - STORAGE,nycha_communitycenters,5,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - STORAGE,3,2
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - THEATRE ART,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - URBAN FAMILY CTR,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - VOCATIONAL TRAINING,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - YOUTH CHORUS,nycha_communitycenters,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,COMMUNITY ALTERNATIVE SYSTEMS AGENCY (CASA),hra_centers,5,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,HIV/AIDS SERVICES ADMINISTRATION (HASA),hra_centers,13,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,MEDICAID OFFICE,hra_centers,12,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,OFFICE OF CHILD SUPPORT SERVICES (OCSS),hra_centers,10,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,SNAP CENTER,foodbankny_foodbanks,26,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM (SNAP),hra_centers,16,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"DOMESTIC VIOLENCE PROGRAM IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",dycd_afterschoolprograms,15,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"IMMIGRANT NDA PROGRAMS,IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",dycd_afterschoolprograms,11,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,IMMIGRANT SERVICES,moeo_socialservicesiteloactions,62,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"IMMIGRANT/REFUGEE ASSISTANCE IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",dycd_afterschoolprograms,12,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"LEGAL ASSISTANCE PROGRAM IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",dycd_afterschoolprograms,17,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"LEGAL SERVICES - IMMIGRANT YOUTH IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",dycd_afterschoolprograms,6,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"LEGAL SERVICES IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",dycd_afterschoolprograms,2,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"NDA IMMIGRANTS IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES,NDA PROGRAMS,NDA IMMIGRANTS",dycd_afterschoolprograms,9,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"NDA IMMIGRATS IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES,NDA PROGRAMS,NDA IMMIGRANTS",dycd_afterschoolprograms,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,"SERVICES - IMMIGRANT FAMILIES IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",dycd_afterschoolprograms,13,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,FEDERAL DEFENDERS,uscourts_courts,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES,moeo_socialservicesiteloactions,6,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,moeo_socialservicesiteloactions,117,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES INITIATIVES,187,-70
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,LEGAL SERVICES NYC,moeo_socialservicesiteloactions,37,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,PROBATION/PRETRIAL SERVICES,uscourts_courts,4,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,RAPID RE-HOUSING,moeo_socialservicesiteloactions,3,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,TRANSITIONAL CARE COORDINATION,moeo_socialservicesiteloactions,6,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,TRANSITIONAL CARE COORDINATION [MAI],moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,TRANSITIONAL EMPLOYMENT,moeo_socialservicesiteloactions,2,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,nysopwdd_providers,158,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,158,0
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,moeo_socialservicesiteloactions,33,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,158,-125
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,COMMUNITY CENTER,nycha_communitycenters,2,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,HOME DELIVERED MEALS,dfta_contracts,21,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,HOME DELIVERED MEALS,20,1
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,NORC SERVICES,moeo_socialservicesiteloactions,32,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,NORC SERVICES,nycha_communitycenters,5,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,SENIOR CENTER,dfta_contracts,251,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,SENIOR CENTER,3,248
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,SENIOR SERVICES,dfta_contracts,127,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,SENIOR SERVICES,89,38
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,TRANSPORTATION,moeo_socialservicesiteloactions,10,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,foodbankny_foodbanks,542,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,606,-64
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,KOSHER CENTER,foodbankny_foodbanks,41,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,moeo_socialservicesiteloactions,28,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,155,-127
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,foodbankny_foodbanks,129,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,155,-26
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,WORKFORCE DEVELOPMENT,ASSISTED COMPETITIVE EMPLOYMENT,moeo_socialservicesiteloactions,12,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,WORKFORCE DEVELOPMENT,EMPLOYMENT WORKS,sbs_workforce1,2,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,WORKFORCE DEVELOPMENT,EMPLOYMENT WORKS,6,-4
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,WORKFORCE DEVELOPMENT,JOB CENTER,hra_centers,29,,,,,,
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,WORKFORCE DEVELOPMENT,JOB PLACEMENT INITIATIVE,moeo_socialservicesiteloactions,1,,,,,,
